season_id,team_name,team_id,player_name,player_id,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,OEPM,DEPM,EPM,PLUS,Poss,player_PLUS_per_Poss,team_Poss,team_PLUS,team_PLUS_per_Poss,RAPM,pRAPM,RAPM_abs_diff
2050,Presbyterian,179,Grant McCarty,232157,College,5,41,0.0,0.0,0.0,6.513,12.829,19.364,0.2,0.9,1.2,-0.317,37.02,-0.009,76.345,2.4286000000000003,0.0318,0.0,-0.2,0.2
2050,Presbyterian,179,Marv Walton,227443,College,0,42,11.047,7.881,0.0,0.0,0.0,19.072,-1.6,0.6,-1.0,-0.308,36.449,-0.008,76.345,2.4286000000000003,0.0318,-0.8,-0.2,0.6
2050,Florida Atlantic,238,Daniel Park,243210,College,43,43,0.0,0.0,25.092,0.0,0.0,25.092,3.8,1.6,5.3,8.931,51.366,0.174,82.175,13.0232,0.1584,5.1,4.1,1.0
2050,Florida Atlantic,238,Isaiah Curtis,230894,College,43,43,0.0,0.0,0.0,26.533,0.0,26.533,1.1,2.0,3.1,7.184,54.483,0.132,82.175,13.0232,0.1584,1.1,2.5,1.4
2050,Florida Atlantic,238,Connor Dill,226367,College,43,43,0.0,0.0,0.0,0.0,26.93,26.93,-0.4,2.9,2.5,8.977,55.227,0.163,82.175,13.0232,0.1584,4.6,3.5,1.1
2050,Florida Atlantic,238,Ty Farley,220926,College,43,43,6.187,26.954,0.0,0.0,0.0,33.095,5.8,3.8,9.6,11.163,67.817,0.165,82.175,13.0232,0.1584,5.5,4.0,1.5
2050,Florida Atlantic,238,Julian Ochoa,227243,College,43,43,31.768,0.0,0.0,0.0,0.0,31.768,4.8,0.4,5.2,12.534,65.207,0.192,82.175,13.0232,0.1584,8.4,4.7,3.7
2050,Florida Atlantic,238,Rickie Haynes,229001,College,0,42,0.0,0.238,13.883,1.547,0.0,15.714,4.3,0.9,5.3,4.905,32.138,0.153,82.175,13.0232,0.1584,3.4,3.3,0.1
2050,Florida Atlantic,238,Trevon Mansfield,225164,College,0,19,0.0,0.0,0.0,0.0,9.894,10.0,0.6,1.7,2.3,3.789,19.305,0.196,82.175,13.0232,0.1584,2.4,4.7,2.3
2050,Florida Atlantic,238,Elvis Ripley,235272,College,0,39,0.0,0.0,0.0,12.077,9.692,21.771,-0.1,1.3,1.1,7.486,45.051,0.166,82.175,13.0232,0.1584,2.8,3.6,0.8
2050,Florida Atlantic,238,Colby Dennis,234183,College,0,38,1.475,11.868,0.0,0.0,0.0,13.287,4.5,2.2,6.7,2.421,27.458,0.088,82.175,13.0232,0.1584,1.8,1.1,0.7
