team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
182,2045,College,team,48,31,44,201.703,71.248,27.136,52.864,0.559,4.795,12.728,0.377,22.338,40.137,0.557,12.181,19.271,0.632,6.795,24.568,31.363,13.5,7.569,3.204,13.569,13.275,30.681,8.193,33.728,7.159,16.203,3.409,5.0,0.682,13.43,21.842,0.615,5.478,13.294,0.412,68.114,2.4,6.0,8.4,0.5,1.4,1.9,0.581,0.241,0.365,104.6,10.0,18.1,0.23,24.0,76.2,0.495,0.555,68.88808,0.473
182,2046,College,team,48,11,41,200.0,66.511,24.367,54.147,0.525,8.124,21.585,0.376,16.245,32.56,0.499,9.66,15.219,0.635,7.438,24.269,31.707,11.0,4.097,2.268,14.22,15.366,-23.415,11.741,22.491,6.537,13.927,2.413,3.61,0.668,8.829,16.269,0.543,5.001,12.683,0.394,67.621,-2.9,-3.5,-6.4,-1.1,-1.3,-2.4,0.547,0.399,0.281,98.4,-6.6,18.9,0.178,23.8,74.2,0.473,0.419,68.23412,0.338
183,2044,College,team,24,10,41,200.0,65.538,24.44,57.146,0.477,5.585,17.22,0.324,18.855,39.929,0.472,11.073,16.855,0.657,7.929,23.435,31.364,10.122,6.245,2.926,14.929,16.146,-70.853,9.387,28.827,5.927,14.928,3.608,5.195,0.695,10.805,22.293,0.485,4.439,12.438,0.357,71.557,-6.0,-4.8,-10.8,-4.5,-3.5,-8.0,0.508,0.301,0.295,91.6,-20.0,18.8,0.194,23.0,74.0,,,72.2364,0.44
183,2045,College,team,48,29,42,200.0,71.977,26.524,56.215,0.521,5.477,15.857,0.345,21.049,40.356,0.522,13.454,20.429,0.659,8.023,23.882,31.905,12.095,8.596,2.618,11.761,13.88,37.501,8.704,32.095,6.095,16.906,3.904,5.476,0.713,12.143,22.263,0.545,4.998,12.619,0.396,68.94,3.0,6.0,8.9,0.6,1.3,1.9,0.552,0.282,0.363,104.4,9.9,15.3,0.239,24.7,76.4,0.488,0.541,69.75892,0.446
183,2046,College,team,48,31,44,200.0,76.161,27.817,57.772,0.533,5.952,16.796,0.354,21.863,40.977,0.534,14.568,21.34,0.683,6.931,24.707,31.638,13.795,9.409,3.182,10.931,13.888,49.318,8.983,32.774,7.226,17.047,4.432,5.841,0.759,11.954,21.092,0.567,5.48,14.045,0.39,71.166,3.9,7.8,11.7,0.5,1.5,2.0,0.567,0.291,0.369,107.0,13.9,14.0,0.252,21.2,74.9,0.471,0.529,72.0152,0.43
184,2044,College,team,51,8,41,200.61,60.367,22.902,50.051,0.504,4.659,12.659,0.368,18.243,37.39,0.488,9.902,14.413,0.687,5.415,21.757,27.172,10.439,4.976,1.928,13.659,14.952,-53.414,9.162,27.462,3.366,13.612,1.683,2.682,0.628,11.999,24.098,0.498,4.514,10.609,0.425,64.631,-5.4,-4.7,-10.1,-4.3,-3.8,-8.1,0.535,0.253,0.288,93.4,-15.4,19.5,0.198,18.8,73.5,,,65.21324,0.455
184,2045,College,team,51,10,41,200.609,71.05,27.172,55.634,0.528,4.392,12.538,0.35,22.779,43.097,0.529,12.318,18.584,0.663,6.538,25.559,32.097,12.44,3.416,3.242,14.611,16.463,-58.538,8.303,35.659,5.828,15.488,2.828,3.806,0.743,14.903,27.389,0.544,4.95,11.903,0.416,71.883,-2.3,-7.7,-10.0,-0.8,-2.2,-3.0,0.557,0.225,0.334,98.8,-15.2,18.6,0.221,21.1,74.2,0.483,0.419,72.62732,0.502
184,2046,College,team,51,23,45,200.555,74.288,27.957,56.178,0.532,3.821,10.912,0.35,24.132,45.266,0.533,14.556,21.489,0.677,7.822,26.667,34.489,11.466,6.245,2.778,14.534,16.244,2.669,7.446,38.045,6.421,16.824,3.022,4.223,0.716,15.955,27.867,0.573,5.113,13.178,0.388,72.344,0.2,-0.3,-0.1,-0.3,-0.4,-0.7,0.566,0.194,0.383,102.7,1.3,18.1,0.259,25.5,78.7,0.479,0.487,73.20472,0.512
185,2044,College,team,52,39,49,201.02,85.064,31.388,63.142,0.546,6.184,17.141,0.361,25.205,45.999,0.548,16.102,24.103,0.668,9.305,28.717,38.022,14.082,10.038,4.019,11.878,14.551,83.673,8.349,39.712,11.08,18.531,4.858,6.796,0.715,14.979,25.182,0.595,5.345,14.018,0.381,76.318,6.1,9.9,16.0,3.9,6.8,10.7,0.577,0.271,0.382,111.5,22.5,13.9,0.255,26.6,81.3,,,77.28444,0.467
185,2045,College,team,26,29,41,200.609,85.074,30.78,63.658,0.539,7.122,19.951,0.357,23.657,43.707,0.541,16.392,23.145,0.708,9.342,30.413,39.755,12.659,6.852,4.584,13.171,15.122,56.097,9.354,35.854,10.366,18.269,4.682,6.22,0.753,13.244,23.389,0.566,5.732,14.098,0.407,77.67,3.9,5.1,9.0,0.6,0.9,1.5,0.576,0.313,0.364,109.5,15.3,15.1,0.258,26.2,77.5,0.475,0.531,78.5966,0.421
