team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
4,2045,College,opponent,31,30,41,200.0,80.342,29.755,61.78,0.547,8.049,20.95,0.384,21.707,40.829,0.532,12.78,18.366,0.696,8.733,25.51,34.243,14.171,8.925,2.659,11.219,13.537,60.978,9.929,32.294,7.952,15.22,3.195,4.487,0.712,12.903,23.511,0.549,5.562,12.829,0.434,72.343,,,,,,,0.575,0.339,0.297,111.1,,13.8,0.207,,,,,73.08168,0.402
4,2046,College,opponent,62,19,43,201.162,70.139,25.326,57.047,0.501,6.468,19.0,0.34,18.861,38.046,0.496,13.025,18.233,0.714,8.002,24.486,32.488,10.604,5.322,2.769,13.002,15.698,-4.998,10.427,25.442,6.117,15.767,3.35,4.79,0.699,9.371,18.348,0.511,6.139,14.906,0.412,70.071,,,,,,,0.539,0.333,0.32,100.1,,16.7,0.228,,,,,70.79884,0.363
5,2044,College,opponent,2,27,41,200.0,86.928,33.217,70.315,0.529,7.927,22.635,0.35,25.293,47.684,0.53,12.561,16.928,0.742,10.389,29.123,39.512,16.682,7.781,3.072,11.707,16.146,27.928,9.429,37.951,9.463,14.001,3.583,5.073,0.706,15.367,28.196,0.545,6.318,14.415,0.438,79.069,,,,,,,0.559,0.322,0.241,109.9,,13.1,0.179,,,,,79.75844,0.437
5,2045,College,opponent,5,35,41,200.0,78.44,29.098,60.392,0.543,7.414,20.464,0.362,21.684,39.928,0.543,12.83,17.17,0.747,9.342,23.438,32.78,14.269,11.562,2.34,8.707,11.194,122.439,9.449,33.414,9.051,14.758,3.489,4.977,0.701,13.22,23.22,0.569,4.976,11.734,0.424,67.309,,,,,,,0.577,0.339,0.284,116.5,,11.4,0.212,,,,,67.9986,0.426
5,2046,College,opponent,11,29,41,200.61,78.024,29.22,59.755,0.55,7.292,18.489,0.394,21.926,41.268,0.531,12.293,16.878,0.728,8.416,24.095,32.511,13.707,9.098,2.683,10.538,12.855,51.463,9.093,34.0,9.267,14.659,3.976,5.512,0.721,13.0,23.537,0.552,4.925,12.219,0.403,69.298,,,,,,,0.581,0.309,0.282,112.6,,13.6,0.206,,,,,69.97844,0.436
6,2044,College,opponent,20,40,41,200.609,105.977,39.659,73.561,0.592,7.757,20.732,0.374,31.902,52.83,0.604,18.901,25.367,0.745,13.147,33.462,46.609,17.755,9.757,3.0,10.539,13.464,186.83,7.981,50.0,8.657,19.367,5.073,6.585,0.77,19.926,30.878,0.645,6.9,15.366,0.449,82.113,,,,,,,0.625,0.282,0.345,129.1,,11.1,0.257,,,,,83.12916,0.472
6,2045,College,opponent,40,38,41,200.609,98.025,36.685,69.441,0.576,6.684,19.95,0.335,30.0,49.489,0.606,17.977,25.781,0.697,12.416,32.072,44.488,16.659,9.538,2.438,10.901,13.733,151.462,8.243,45.512,9.048,19.537,4.561,6.047,0.754,18.171,28.635,0.635,7.244,14.805,0.489,79.269,,,,,,,0.607,0.287,0.371,123.7,,11.9,0.259,,,,,80.30088,0.464
6,2046,College,opponent,40,38,41,201.219,91.39,33.683,67.659,0.544,6.292,18.536,0.339,27.391,49.122,0.558,17.732,24.755,0.716,12.513,31.707,44.22,14.951,8.098,2.538,11.757,12.926,107.318,7.998,43.074,8.61,19.439,4.341,6.097,0.712,17.196,28.513,0.603,5.855,14.512,0.403,77.796,,,,,,,0.582,0.274,0.366,117.5,,13.0,0.262,,,,,78.7854,0.471
7,2044,College,opponent,12,18,44,201.136,75.227,27.614,59.568,0.518,6.522,19.115,0.341,21.092,40.455,0.521,13.475,18.614,0.724,7.002,25.633,32.635,13.75,6.546,3.976,16.593,17.816,-30.91,9.302,31.638,7.296,16.592,3.502,5.114,0.685,12.294,22.295,0.551,5.271,13.045,0.404,77.351,,,,,,,0.555,0.321,0.312,97.3,,19.7,0.226,,,,,78.09372,0.421
7,2045,College,opponent,12,24,41,200.609,81.172,29.829,63.659,0.528,7.61,22.512,0.338,22.22,41.147,0.54,13.902,19.318,0.72,8.194,28.756,36.95,14.708,7.074,5.074,15.242,16.682,15.975,9.317,35.22,7.538,16.78,3.047,4.368,0.698,14.536,25.365,0.573,4.609,11.416,0.404,79.197,,,,,,,0.562,0.354,0.303,102.5,,17.4,0.218,,,,,79.97964,0.434
